"","subject","activity","mean_tbodyacc_minus_mean_minus_x","mean_tbodyacc_minus_mean_minus_y","mean_tbodyacc_minus_mean_minus_z","mean_tbodyacc_minus_std_minus_x","mean_tbodyacc_minus_std_minus_y","mean_tbodyacc_minus_std_minus_z","mean_tbodygyro_minus_mean_minus_x","mean_tbodygyro_minus_mean_minus_y","mean_tbodygyro_minus_mean_minus_z","mean_tbodygyro_minus_std_minus_x","mean_tbodygyro_minus_std_minus_y","mean_tbodygyro_minus_std_minus_z"
"1",7,"WALKING",0.274347260646063,-0.0177434918458972,-0.108925032737064,-0.607783818968688,-0.510191378479501,-0.61306429934125,-0.0309824871713436,-0.0747194855994359,0.0641104602035088,-0.721192598029789,-0.682653506899942,-0.653665674372188
"2",21,"WALKING",0.274347260646063,-0.0177434918458972,-0.108925032737064,-0.607783818968688,-0.510191378479501,-0.61306429934125,-0.0309824871713436,-0.0747194855994359,0.0983715930038462,-0.721192598029789,-0.682653506899942,-0.653665674372188
"3",18,"WALKING",0.274347260646063,-0.0177434918458972,-0.108925032737064,-0.607783818968688,-0.510191378479501,-0.61306429934125,-0.0309824871713436,-0.0747194855994359,0.0944718394625,-0.721192598029789,-0.682653506899942,-0.653665674372188
"4",11,"WALKING",0.274347260646063,-0.0177434918458972,-0.108925032737064,-0.607783818968688,-0.510191378479501,-0.61306429934125,-0.0309824871713436,-0.0747194855994359,0.0843744495507542,-0.721192598029789,-0.682653506899942,-0.653665674372188
"5",20,"WALKING",0.274347260646063,-0.0177434918458972,-0.108925032737064,-0.607783818968688,-0.510191378479501,-0.61306429934125,-0.0309824871713436,-0.0747194855994359,0.0851359929294118,-0.721192598029789,-0.682653506899942,-0.653665674372188
"6",22,"WALKING",0.274347260646063,-0.0177434918458972,-0.108925032737064,-0.607783818968688,-0.510191378479501,-0.61306429934125,-0.0309824871713436,-0.0747194855994359,0.0775266594847826,-0.721192598029789,-0.682653506899942,-0.653665674372188
"7",26,"WALKING",0.274347260646063,-0.0177434918458972,-0.108925032737064,-0.607783818968688,-0.510191378479501,-0.61306429934125,-0.0309824871713436,-0.0747194855994359,0.0851069247830508,-0.721192598029789,-0.682653506899942,-0.653665674372188
"8",6,"WALKING",0.274347260646063,-0.0177434918458972,-0.108925032737064,-0.607783818968688,-0.510191378479501,-0.61306429934125,-0.0309824871713436,-0.0747194855994359,0.0838808799280702,-0.721192598029789,-0.682653506899942,-0.653665674372188
"9",19,"WALKING",0.274347260646063,-0.0177434918458972,-0.108925032737064,-0.607783818968688,-0.510191378479501,-0.61306429934125,-0.0309824871713436,-0.0747194855994359,0.0798106981923077,-0.721192598029789,-0.682653506899942,-0.653665674372188
"10",14,"WALKING",0.274347260646063,-0.0177434918458972,-0.108925032737064,-0.607783818968688,-0.510191378479501,-0.61306429934125,-0.0309824871713436,-0.0747194855994359,0.0513222717627119,-0.721192598029789,-0.682653506899942,-0.653665674372188
