"","subject","activity","mean_fast_fourier_transform_bodyacc_minus_mean_minus_x","mean_fast_fourier_transform_bodyacc_minus_mean_minus_y","mean_fast_fourier_transform_bodyacc_minus_mean_minus_z","mean_fast_fourier_transform_bodyacc_minus_std_minus_x","mean_fast_fourier_transform_bodyacc_minus_std_minus_y","mean_fast_fourier_transform_bodyacc_minus_std_minus_z","mean_fast_fourier_transform_bodyacc_minus_mean_freq_minus_x","mean_fast_fourier_transform_bodyacc_minus_mean_freq_minus_y","mean_fast_fourier_transform_bodyacc_minus_mean_freq_minus_z","mean_fast_fourier_transform_bodygyro_minus_mean_minus_x","mean_fast_fourier_transform_bodygyro_minus_mean_minus_y","mean_fast_fourier_transform_bodygyro_minus_mean_minus_z","mean_fast_fourier_transform_bodygyro_minus_std_minus_x","mean_fast_fourier_transform_bodygyro_minus_std_minus_y","mean_fast_fourier_transform_bodygyro_minus_std_minus_z","mean_fast_fourier_transform_bodygyro_minus_mean_freq_minus_x","mean_fast_fourier_transform_bodygyro_minus_mean_freq_minus_y","mean_fast_fourier_transform_bodygyro_minus_mean_freq_minus_z"
"1",7,"WALKING",-0.622761658493734,-0.53749328145871,-0.665033506271952,-0.603356276555826,-0.528420009576204,-0.617874813333395,-0.2214691368263,0.160434129035088,0.0473098698476722,-0.672094306818974,-0.70621663959074,-0.366733617894737,-0.738594816501343,-0.674226934551517,-0.690446312501126,-0.101042702224631,-0.174277577553958,-0.0513928953203266
"2",21,"WALKING",-0.622761658493734,-0.53749328145871,-0.665033506271952,-0.603356276555826,-0.528420009576204,-0.617874813333395,-0.2214691368263,0.0431149928317308,0.0473098698476722,-0.672094306818974,-0.70621663959074,-0.283262474865385,-0.738594816501343,-0.674226934551517,-0.690446312501126,-0.101042702224631,-0.174277577553958,-0.0513928953203266
"3",18,"WALKING",-0.622761658493734,-0.53749328145871,-0.665033506271952,-0.603356276555826,-0.528420009576204,-0.617874813333395,-0.2214691368263,0.0639302961089286,0.0473098698476722,-0.672094306818974,-0.70621663959074,-0.538152344821429,-0.738594816501343,-0.674226934551517,-0.690446312501126,-0.101042702224631,-0.174277577553958,-0.0513928953203266
"4",11,"WALKING",-0.622761658493734,-0.53749328145871,-0.665033506271952,-0.603356276555826,-0.528420009576204,-0.617874813333395,-0.2214691368263,0.0128761033966102,0.0473098698476722,-0.672094306818974,-0.70621663959074,-0.398293336610169,-0.738594816501343,-0.674226934551517,-0.690446312501126,-0.101042702224631,-0.174277577553958,-0.0513928953203266
"5",20,"WALKING",-0.622761658493734,-0.53749328145871,-0.665033506271952,-0.603356276555826,-0.528420009576204,-0.617874813333395,-0.2214691368263,-0.00368602589490196,0.0473098698476722,-0.672094306818974,-0.70621663959074,-0.108892495684314,-0.738594816501343,-0.674226934551517,-0.690446312501126,-0.101042702224631,-0.174277577553958,-0.0513928953203266
"6",22,"WALKING",-0.622761658493734,-0.53749328145871,-0.665033506271952,-0.603356276555826,-0.528420009576204,-0.617874813333395,-0.2214691368263,0.309767108065217,0.0473098698476722,-0.672094306818974,-0.70621663959074,-0.083501182326087,-0.738594816501343,-0.674226934551517,-0.690446312501126,-0.101042702224631,-0.174277577553958,-0.0513928953203266
"7",26,"WALKING",-0.622761658493734,-0.53749328145871,-0.665033506271952,-0.603356276555826,-0.528420009576204,-0.617874813333395,-0.2214691368263,-0.053962302640678,0.0473098698476722,-0.672094306818974,-0.70621663959074,-0.318516813050847,-0.738594816501343,-0.674226934551517,-0.690446312501126,-0.101042702224631,-0.174277577553958,-0.0513928953203266
"8",6,"WALKING",-0.622761658493734,-0.53749328145871,-0.665033506271952,-0.603356276555826,-0.528420009576204,-0.617874813333395,-0.2214691368263,0.0220734188245614,0.0473098698476722,-0.672094306818974,-0.70621663959074,-0.203575458733333,-0.738594816501343,-0.674226934551517,-0.690446312501126,-0.101042702224631,-0.174277577553958,-0.0513928953203266
"9",19,"WALKING",-0.622761658493734,-0.53749328145871,-0.665033506271952,-0.603356276555826,-0.528420009576204,-0.617874813333395,-0.2214691368263,0.05707673046,0.0473098698476722,-0.672094306818974,-0.70621663959074,-0.01050470716,-0.738594816501343,-0.674226934551517,-0.690446312501126,-0.101042702224631,-0.174277577553958,-0.0513928953203266
"10",14,"WALKING",-0.622761658493734,-0.53749328145871,-0.665033506271952,-0.603356276555826,-0.528420009576204,-0.617874813333395,-0.2214691368263,-0.143666881322034,0.0473098698476722,-0.672094306818974,-0.70621663959074,-0.212925759152542,-0.738594816501343,-0.674226934551517,-0.690446312501126,-0.101042702224631,-0.174277577553958,-0.0513928953203266
